Country,Year,GHG Energy,GHG Fugi,GHG FC,GHG FC - Coal,GHG FC - Oil,GHG FC - Gas,CO2 MARBUNK,CO2 AVBUNK,CO2-TES,CO2-GDP,CO2-GDP PPP,CO2-POP
Spain,1987,,,179.9616224,72.0566739,102.2687769,5.597283093,11.65801209,2.914625961,57.377,0.28,0.207,4.553
Sweden,1987,59.52307687,19.990325,59.50308654,11.48080151,45.93081773,0.644688591,2.681856819,0.750177956,28.639,0.209,0.219,6.91
Switzerland,1987,,,40.64030218,1.666045749,34.7589413,3.193186549,0.066290003,2.656368074,42.568,0.095,0.122,6.046
Republic of Türkiye,1987,,,118.7810788,56.50533971,57.9947494,1.408379292,0.559036938,0.245960035,57.829,0.452,0.193,2.172
United Kingdom,1987,582.95243,13602.3591,569.3500709,268.6523865,188.8543182,111.8433662,5.21223116,11.33260702,65.362,0.33,0.348,9.905
Albania,1987,,,7.449421021,3.895251987,2.651024095,0.766619712,0.0,0.0,60.76,1.296,0.439,2.345
Armenia,1987,,,,,,,,,,,,
Azerbaijan,1987,60.30732424,60307.32424,,,,,,,,,,
Belarus,1987,,,,,,,,,,,,
Bosnia and Herzegovina,1987,,,,,,,,,,,,
Bulgaria,1987,,,85.15230545,44.58739901,28.36671289,12.1214432,0.936830577,1.137564936,70.751,1.387,0.534,9.388
Croatia,1987,,,,,,,,,,,,
Cyprus,1987,,,3.629065805,0.371258115,3.257100027,0.0,0.211498297,0.519590461,72.577,0.461,0.339,6.525
Georgia,1987,,,,,,,,,,,,
Gibraltar,1987,,,0.129405864,0,0.129405864,0.0,5.094611343,0.01537254,61.432,0.194,0.237,4.555
Kazakhstan,1987,19.7937706,19793.7706,,,,,,,,,,
Kosovo,1987,,,,,,,,,,,,
Kyrgyzstan,1987,,,,,,,,,,,,
Malta,1987,,,1.981331429,0.446420166,1.534911263,0.0,0.094093176,0.221364031,77.807,0.662,0.441,5.711
Republic of Moldova,1987,,,,,,,,,,,,
Montenegro,1987,,,,,,,,,,,,
Republic of North Macedonia,1987,,,,,,,,,,,,
Romania,1987,207.639434,17425.79102,190.2136429,65.99398643,48.83912605,75.0337805,0.0,0.0,64.92,1.424,0.591,8.23
Russian Federation,1987,443.5884908,443588.4908,,,,,,,,,,
Serbia,1987,,,,,,,,,,,,
Tajikistan,1987,,,,,,,,,,,,
Turkmenistan,1987,83.25865353,83258.65353,,,,,,,,,,
Ukraine,1987,5.0466305,5046.6305,,,,,,,,,,
Uzbekistan,1987,14.05211798,14052.11798,,,,,,,,,,
Former Soviet Union (if no detail),1987,,,3288.009361,1065.009236,1099.259468,1120.816428,14.55120047,80.85934865,58.757,1.99,0.716,11.62
Former Yugoslavia (if no detail),1987,,,119.4896405,70.2612542,38.48807497,10.61285316,0.0,1.134514508,64.567,1.002,0.439,5.122
Algeria,1987,106.321704,58798.31322,47.52339074,1.363817902,20.00691953,26.14911568,0.779604924,1.132059476,56.868,0.604,0.21,1.998
Angola,1987,11.00960774,7124.246805,3.885360939,0,2.577188337,0.30313486,0.043560567,1.116114866,13.162,0.062,0.035,0.266
Benin,1987,0.7070798951,44.8099731,0.662269922,0,0.367213961,0.0,0.0,0.060535968,5.443,0.099,0.037,0.077
Botswana,1987,1.969760099,0.176607,1.969583492,1.194931793,0.619864553,0.0,0.0,0.009566825,45.667,0.433,0.189,1.469
Cameroon,1987,8.582137343,5042.622446,3.539514897,0,2.326270318,0.0,0.009625565,0.153067112,11.81,0.124,0.051,0.218
Congo,1987,5.582726746,4732.100238,0.850626508,0,0.73491068,0.0,0.0,0.076533705,22.551,0.194,0.102,0.33
Côte d'Ivoire,1987,4.714317883,1022.587738,3.691730145,0,3.09181019,0.0,0.404492512,0.283812129,17.364,0.131,0.056,0.286
Dem. Rep. of Congo,1987,6.976627674,1001.707899,5.974919775,0.884167161,2.481972956,0.0,0.099567243,0.394841759,7.498,0.117,0.064,0.101
Egypt,1987,86.64763528,15011.597,71.63603828,3.000614975,59.26552563,9.073302057,5.394101324,0.277352921,57.681,0.666,0.199,1.34
Equatorial Guinea,1987,0.087354964,0.0,0.087354964,0,0.051275628,0.0,0.0,0.0,9.66,0.449,0.21,0.122
Eritrea,1987,,0.0,,,,,,,,,,
Kingdom of Eswatini,1987,0.88481221,0.0,0.88481221,0.195755348,0.478300415,0.0,0.0,0.003189042,17.647,0.461,0.192,0.871
Ethiopia,1987,6.940333883,1.1136233,6.93922026,0,1.885197777,0.0,0.012834086,0.497362673,2.84,0.153,0.058,0.043
Gabon,1987,8.478267436,6979.251196,1.49901624,0,1.175994423,0.112399461,0.214006983,0.149455126,23.671,0.195,0.098,1.412
Ghana,1987,3.241520697,0.913937,3.24060676,0,2.34228252,0.0,0.0,0.07318617,11.186,0.203,0.069,0.161
Kenya,1987,7.070462865,2.5659625,7.067896902,0.22618163,5.281723973,0.0,0.529139945,0.797225076,13.065,0.2,0.08,0.259
Libya,1987,54.16760831,34145.01401,20.02259431,0,16.78987129,3.187211708,0.062229567,1.160759653,42.928,0.385,0.137,5.058
Madagascar,1987,1.32771815,0.0,1.32771815,0,0.77699819,0.0,0.031777889,0.003074388,7.973,0.131,0.039,0.07
Mauritius,1987,,,0.841165715,0.122805338,0.691782545,0.0,0.317165198,0.283812129,36.344,0.237,0.114,0.779
Morocco,1987,17.65351772,27.49103,17.62602669,4.071409974,13.07646823,0.145755303,0.04171078,0.660049445,62.708,0.479,0.196,0.737
Mozambique,1987,2.928423081,8.7936798,2.919629401,0.149888795,1.330869985,0.0,0.096255956,0.130745018,5.742,0.608,0.278,0.113
Namibia,1987,,0.0,,,,,,,,,,
Niger,1987,1.160189814,0.0,1.160189814,0.188058085,0.568779463,0.0,0.0,0.051022271,13.139,0.205,0.087,0.098
Nigeria,1987,115.9780103,67717.59072,48.26041959,0.318431711,24.27266117,7.043816591,0.642117552,0.892892133,12.481,0.279,0.14,0.354
Rwanda,1987,1.428414455,0.0,1.428414455,0,0.438951163,0.0,0.0,0.033831442,1.526,0.154,0.064,0.064
Senegal,1987,2.273162995,0.9769835,2.272186011,0,2.089356587,0.000707442,0.179974742,0.357156793,28.388,0.276,0.113,0.299
South Africa,1987,262.5084315,23519.6634,238.9887681,197.7255634,39.11070241,0.0,3.130889844,0.901400843,59.467,1.349,0.616,6.499
South Sudan,1987,,0.0,,,,,,,,,,
Sudan,1987,4.187894228,1.816585,4.186077643,0,3.047201282,0.0,0.016042608,0.19420557,7.582,0.099,0.049,0.119
United Rep. of Tanzania,1987,3.345861445,0.7423543,3.345119091,0.01041257,1.547350311,0.0,0.071564067,0.111346916,5.136,0.132,0.053,0.064
Togo,1987,0.7263349075,0.2264685,0.726108439,0,0.534081324,0.0,0.0,0.0,10.97,0.206,0.084,0.148
Tunisia,1987,13.52013473,3294.454163,10.22568056,0.349201103,7.120748823,2.58607725,0.0,0.462390376,57.123,0.634,0.24,1.267
Uganda,1987,2.311290887,0.0,2.311290887,0,0.663150533,0.0,0.0,0.038266703,2.341,0.135,0.047,0.041
Zambia,1987,,,3.597439553,1.041215521,1.705076794,0.0,0.0,0.16122174,12.397,0.369,0.144,0.382
Zimbabwe,1987,,,16.17677718,12.34704873,2.255685561,0.0,0.0,0.318572804,40.231,1.587,0.856,1.553
Other Africa,1987,,,17.9764536,0.073679222,10.48970479,0.0,1.593333473,0.580379826,9.855,0.282,0.117,0.16
Bangladesh,1987,12.27072187,720.43597,11.5502859,0.464645193,4.786759475,4.214512352,0.031599999,0.229547689,21.401,0.165,0.058,0.094
Brunei Darussalam,1987,4.999262558,1986.131002,3.013131556,0,0.644767515,2.367716539,0.217803486,0.086100232,44.526,0.333,0.166,12.582
Cambodia,1987,,,,,,,,,,,,
DPR of Korea,1987,,,123.0538018,115.43075,7.501228561,0.0,0.0,0.0,85.284,2.949,0.816,6.119
India,1987,521.4851253,44300.34633,477.184779,309.2877181,128.0292875,9.009486809,0.71475545,3.692108495,44.114,1.244,0.373,0.542
Indonesia,1987,146.8558662,38242.0952,108.613771,11.20894807,74.80878018,10.68957133,0.545964685,0.857814172,30.517,0.474,0.154,0.556
Lao People's Democratic Republic,1987,,,,,,,,,,,,
Malaysia,1987,39.80582326,5524.204095,34.28161917,1.305424552,27.4916467,5.309010576,0.302110071,1.301018068,47.173,0.588,0.236,2.105
Mongolia,1987,,,13.75972623,11.42648071,2.317861254,0.0,0.0,0.0,91.111,3.68,1.339,6.699
Myanmar,1987,,,7.46341364,0.265173994,2.393378217,1.894203525,0.0,0.012755568,10.008,0.514,0.141,0.118
Nepal,1987,,,2.598367049,0.229819935,0.525757697,0.0,0.0,0.06663669,3.327,0.111,0.032,0.041
Pakistan,1987,55.00127118,3745.057163,51.25621402,5.494112322,24.76705772,15.37747354,0.031836168,1.436255367,29.175,0.507,0.155,0.434
Philippines,1987,36.27535845,94.0249575,36.18133349,5.09455813,28.33299023,0.0,0.46320886,1.254871255,32.69,0.361,0.151,0.576
Singapore,1987,,,17.36696198,0.052837471,17.06503981,0.108767292,26.09661496,3.883921445,53.789,0.327,0.209,6.21
Sri Lanka,1987,,,5.24321549,0.003036851,4.023050492,0.0,1.284356059,0.0,17.664,0.209,0.069,0.238
Chinese Taipei,1987,,,90.56498965,35.59478517,53.34834471,1.621859767,3.287176256,1.309467539,53.008,0.694,0.336,4.536
Thailand,1987,54.16326992,1660.18865,52.50308127,9.048204506,32.45377708,9.304642743,1.218791854,3.535961063,41.702,0.502,0.185,0.958
Viet Nam,1987,26.90920221,1808.69591,25.1005063,14.37194747,7.419997915,0.077173562,0.083496543,0.0,29.121,0.581,0.198,0.345
Other Asia,1987,,,11.19052285,0.966601134,8.77831572,0.421213928,0.24258676,0.586704482,37.026,0.244,0.149,0.341
People's Rep. of China,1987,2064.297355,110574.7208,1953.722634,1609.159499,256.2977913,18.10060836,4.200498062,1.058200899,58.46,2.142,1.331,1.7
"Hong Kong, China",1987,,,28.86367825,20.08195624,8.243516796,0.535268004,2.862132141,3.131499949,82.82,0.271,0.204,5.138
"China (incl. Hong Kong, China)",1987,2093.161033,110574.7208,1982.586312,1629.241455,264.5413081,18.63587636,7.062630203,4.189700848,58.725,1.937,1.227,1.717
Argentina,1987,122.0680553,22073.5422,99.99451311,3.622696332,62.28856513,33.85797804,2.02000796,1.831519307,53.647,0.298,0.221,3.167
Bolivia,1987,12.27116193,7664.751938,4.606409996,0,3.398847691,1.000375274,0.0,0.0,47.465,0.405,0.172,0.651
Brazil,1987,200.0477336,9646.24505,190.4014885,30.33296684,146.1145986,5.242718638,1.866540745,1.0832716,30.455,0.213,0.128,1.262
Cuba,1987,35.33151144,155.551125,35.17596031,0.464604606,34.25978866,0.134564221,0.058989701,0.989822519,52.015,0.665,0.214,3.351
Curaçao,1987,,,3.995366655,0,3.995366655,0.0,4.992925368,0.117936322,65.446,2.115,1.681,21.31
Dominican Republic,1987,,,8.383902962,0.569062963,7.612791161,0.0,0.0,0.290189913,48.505,0.408,0.192,1.208
Ecuador,1987,15.76170081,3652.302333,12.10939847,0,11.78453021,0.0,0.340509746,0.507035162,48.488,0.311,0.172,1.195
El Salvador,1987,,,2.417351522,0,2.029370141,0.0,0.0,0.070155922,18.779,0.17,0.083,0.395
Guatemala,1987,,,3.677413765,0,2.762490189,0.0,0.385023513,0.136964009,16.984,0.118,0.058,0.326
Guyana,1987,1.451179939,0.0,1.451179939,0,1.354481276,0.0,0.0,0.041455745,35.998,0.653,0.325,1.759
Haiti,1987,,,1.231650724,0.044255913,0.77986656,0.0,0.0,0.063778138,9.062,0.078,0.036,0.125
Honduras,1987,,,2.36225218,0.002860271,1.92377009,0.0,0.0,0.082911489,20.962,0.237,0.113,0.409
Jamaica,1987,,,4.689550413,0,4.657464724,0.0,0.066602672,0.417745889,61.453,0.411,0.23,1.977
Nicaragua,1987,,,2.538112422,0,2.243294453,0.0,0.0,0.086100232,27.195,0.363,0.141,0.562
Panama,1987,,,3.212146481,0.081135708,3.011738207,0.0,4.343328955,0.26786752,43.049,0.236,0.127,1.33
Paraguay,1987,2.136265481,0.6756783,2.135589803,0,1.640852696,0.0,0.0,0.029454264,14.169,0.115,0.054,0.431
Peru,1987,24.95622462,2806.926613,22.14929801,0.722568279,19.23113346,1.190615454,0.121347851,0.867380698,45.12,0.251,0.135,1.011
Suriname,1987,,,,,,,,,,,,
Trinidad and Tobago,1987,22.17173453,14927.13143,7.244603108,0,2.288288543,4.946738158,0.275648259,0.159444895,34.237,0.872,0.58,5.831
Uruguay,1987,3.603641536,0.9409913,3.602700545,0.022510535,3.428509674,0.0,0.313387902,0.0,36.515,0.129,0.1,1.114
Venezuela,1987,218.7031172,133602.0158,85.10110144,1.129072509,51.75672479,32.09357061,1.534604915,1.028264314,52.696,0.203,0.201,4.582
Other Non-OECD Americas,1987,,,9.091264639,0.01667746,9.027478547,0.020018976,1.098146721,1.014070325,64.377,0.111,0.098,1.725
Bahrain,1987,12.04244525,2393.695419,9.648749829,0,1.814245729,7.834504101,0.320853083,1.237293059,53.992,1.075,0.535,20.59
Islamic Rep. of Iran,1987,202.59134,57289.7224,145.3016176,1.604823367,123.177615,20.47498384,0.892994874,1.549805365,62.262,0.85,0.314,2.849
Iraq,1987,77.40647729,32876.66908,44.52980821,0,42.60706456,1.920494239,0.622295997,0.937271869,66.525,2.306,1.108,2.652
Jordan,1987,8.778176889,7.661005,8.770515884,0,8.769945364,0.0,0.100052459,0.510223905,69.66,0.651,0.286,2.88
Kuwait,1987,55.86413896,12605.46482,43.25867414,0,28.71548678,14.54188193,2.337001039,0.943861275,61.173,1.034,0.653,20.937
Lebanon,1987,7.366422953,3.7730175,7.362649935,0,7.32423755,0.0,0.0,0.319411868,64.836,0.208,0.106,2.133
Oman,1987,13.31653157,6952.162209,6.364369366,0,3.461936449,2.902432917,0.466722079,0.404990322,65.83,0.259,0.134,4.116
Qatar,1987,14.41824805,2735.456031,11.68279202,0,1.689940805,9.991472299,0.0,0.322078832,44.87,0.583,0.396,29.307
Saudi Arabia,1987,162.2717006,30776.1054,131.4955952,0,99.2306493,32.26298778,18.92713268,4.352848398,56.613,0.594,0.252,9.24
Syrian Arab Republic ,1987,47.55328204,23527.8332,24.02544884,0.002860271,23.26278672,0.75952817,2.672705564,0.790847292,63.556,1.752,2.038,2.11
United Arab Emirates,1987,66.71063713,22233.99812,44.47663901,0,16.84274972,27.63388929,14.25268997,5.312707411,61.119,0.515,0.307,28.053
Yemen,1987,6.159098749,412.96376,5.746134989,0,5.739192418,0.0,1.254297241,0.513359818,60.437,0.26,0.161,0.474
Canada,1988,463.8985545,31042.23728,432.8563172,108.4251561,205.2358803,117.9223362,1.78618219,2.267307993,48.233,0.498,0.486,15.926
Chile,1988,26.64219776,879.2636375,25.76293412,7.071535399,16.00863895,1.99571847,0.158685526,0.691673907,50.653,0.39,0.233,1.946
Colombia,1988,52.35354047,7044.899313,45.30864115,11.21430218,24.76472716,7.63774674,0.143725957,1.468143089,44.265,0.385,0.179,1.349
Costa Rica,1988,,,2.428636359,0.002458573,2.350279026,0.0,0.295590445,0.0,38.158,0.134,0.091,0.803
Mexico,1988,292.4677164,39166.0331,253.3016833,11.85553351,194.1898413,45.0879276,1.641201503,4.202620063,52.721,0.438,0.23,2.966
United States,1988,5149.746362,244789.9455,4904.956416,1791.725925,2116.264953,989.6516658,58.20682472,35.77945805,60.251,0.521,0.521,19.758
Australia,1988,262.0363024,17914.31997,244.1219825,131.6913296,82.39044896,28.16508311,1.860870223,3.449016892,72.779,0.449,0.498,14.566
Israel,1988,30.99053926,9.6106805,30.98092858,8.587930679,22.38635608,0.005711751,0.364813657,1.558863935,67.332,0.316,0.319,6.912
Japan,1988,948.3436755,3780.861275,944.5628142,265.3643685,587.851776,90.3564349,15.91630875,10.75113335,56.286,0.292,0.25,7.634
Korea,1988,216.8102767,20228.3388,196.5819379,97.27791748,93.55654254,5.747477867,5.213779722,2.609035069,61.953,0.563,0.426,4.568
New Zealand,1988,21.62665835,838.88456,20.78777379,4.881850149,10.89594128,4.931876507,0.723539678,1.161338608,41.113,0.235,0.241,6.151
Austria,1988,,,52.04190968,14.65568641,26.31674463,9.256615352,0.0,0.697911561,49.461,0.227,0.201,6.637
Belgium,1988,,,104.060866,37.40192843,50.09341711,15.8074314,11.84145934,1.995355917,52.094,0.375,0.333,10.403
Czech Republic,1988,,,179.6336419,143.7450207,25.13363513,10.75498606,0.0,0.661215569,83.432,1.473,0.775,17.03
Denmark,1988,57.74338623,1000.837553,56.74254868,26.96958894,25.55919306,3.668259463,2.837330204,1.93386051,71.577,0.283,0.307,10.914
Estonia,1988,0.0093730825,9.3730825,,,,,,,,,,
Finland,1988,,,52.42273438,20.79075011,27.81938809,3.309410251,1.560136827,0.725581952,44.459,0.348,0.35,10.405
France,1988,342.967742,2021.05415,340.9466879,74.73751935,211.7282461,51.44423014,7.210368053,8.390310371,37.716,0.216,0.194,5.791
Germany,1988,1007.641393,6110.3611,1001.531032,568.1034486,318.4694933,111.3284594,9.294786188,11.86449563,65.339,0.464,0.4,12.669
Greece,1988,,,64.56956889,30.85933254,33.4412494,0.087028622,6.592153988,2.099883459,79.791,0.418,0.283,6.292
Hungary,1988,,,75.85435639,33.94876247,22.64655844,19.05424573,0.0,0.44580245,58.591,0.818,0.388,7.129
Iceland,1988,,,1.850338077,0.246197931,1.604140146,0.0,0.050506447,0.156799485,22.172,0.205,0.221,7.31
Ireland,1988,,,28.72444332,15.43681122,10.52043957,2.767192525,0.071754186,1.033032145,73.436,0.396,0.356,7.959
Italy,1988,374.3217447,4012.715625,370.3090291,53.0868168,241.974576,74.9525121,9.958628941,4.885380626,62.816,0.247,0.202,6.478
Latvia,1988,,,,,,,,,,,,
Lithuania,1988,,,,,,,,,,,,
Luxembourg,1988,,,9.950099377,5.290402456,3.770847903,0.834650804,0.0,0.322822433,77.395,0.462,0.452,26.398
Netherlands,1988,144.6906856,389.187307,144.3014983,32.16450669,45.18048007,66.91821357,33.81655523,4.110547417,53.671,0.334,0.3,9.712
Norway,1988,29.30987372,1046.033082,28.26384064,4.090883658,19.69589329,4.053202959,1.285619095,1.352779891,32.667,0.135,0.166,6.589
Poland,1988,441.6605023,999.7033125,440.660799,378.9478424,40.39416654,16.52357421,1.625871048,1.134600275,78.123,2.133,0.999,11.431
Portugal,1988,,,29.35819917,8.168558879,21.00111814,0.0,1.475448042,1.398317012,52.939,0.231,0.15,2.867
Slovak Republic,1988,,,54.74987754,34.71774338,12.75977563,7.193332017,0.0,0.0,60.153,0.851,0.464,10.343
Slovenia,1988,0.0,0.0,0.0,0,0.0,0.0,0.0,8.6087e-05,57.746,0.488,0.449,6.956
Spain,1988,,,183.3156803,61.95010576,114.3589247,6.965636731,10.20807166,3.351204948,54.08,0.271,0.2,4.625
Sweden,1988,57.09437973,23.13123,57.0712485,11.22878222,43.57296466,0.822072501,2.099020285,0.870083585,26.885,0.195,0.205,6.59
Switzerland,1988,,,40.50591899,1.423708466,34.82235106,3.231214109,0.069446404,2.78242248,42.029,0.092,0.118,5.976
Republic of Türkiye,1988,,,113.73422,52.04147031,56.43895385,2.369486039,0.546652725,0.399685131,54.921,0.413,0.176,2.041
United Kingdom,1988,581.1541872,13332.55913,567.8216281,260.4223578,199.2044241,108.1948462,5.724582929,11.83067587,64.623,0.312,0.33,9.859
Albania,1988,,,7.382519722,3.919708398,2.50854826,0.817737839,0.0,0.0,58.664,1.301,0.441,2.279
Armenia,1988,,,,,,,,,,,,
Azerbaijan,1988,59.15691134,59156.91134,,,,,,,,,,
Belarus,1988,,,,,,,,,,,,
Bosnia and Herzegovina,1988,,,,,,,,,,,,
Bulgaria,1988,,,84.05213715,42.06929042,30.18656667,11.7272569,0.949188731,1.278991881,69.611,1.314,0.506,9.259
Croatia,1988,,,,,,,,,,,,
Cyprus,1988,,,3.684440065,0.223738139,3.460064645,0.0,0.211619937,0.522665148,72.082,0.432,0.318,6.553
Georgia,1988,,,,,,,,,,,,
Gibraltar,1988,,,0.145130215,0,0.145130215,0.0,5.35212548,0.024596003,59.214,0.207,0.253,5.101
Kazakhstan,1988,19.89293215,19892.93215,,,,,,,,,,
Kosovo,1988,,,,,,,,,,,,
Kyrgyzstan,1988,,,,,,,,,,,,
Malta,1988,,,2.155966377,0.561704261,1.594262116,0.0,0.094093176,0.215214955,78.574,0.664,0.442,6.162
Republic of Moldova,1988,,,,,,,,,,,,
Montenegro,1988,,,,,,,,,,,,
Republic of North Macedonia,1988,,,,,,,,,,,,
Romania,1988,213.3177775,18201.57138,195.1162062,73.87053698,45.65532816,75.26431279,0.0,0.0,66.161,1.428,0.592,8.404
Russian Federation,1988,450.295658,450295.658,,,,,,,,,,
Serbia,1988,,,,,,,,,,,,
Tajikistan,1988,,,,,,,,,,,,
Turkmenistan,1988,88.84527817,88845.27818,,,,,,,,,,
Ukraine,1988,5.30378275,5303.78275,,,,,,,,,,
Uzbekistan,1988,14.71853185,14718.53185,,,,,,,,,,
Former Soviet Union (if no detail),1988,,,3327.789903,1083.539646,1068.171542,1173.331652,14.8607993,83.0115012,57.814,1.977,0.711,11.659
Former Yugoslavia (if no detail),1988,,,125.3274447,71.31172691,43.1074914,10.77750605,0.0,1.202156889,66.702,1.08,0.473,5.349
Algeria,1988,103.7622482,53824.17391,49.93807428,1.379690336,19.92766774,28.62708293,0.97416695,1.10654834,56.622,0.647,0.225,2.044
Angola,1988,13.26344901,8988.377508,4.2750715,0,2.942218338,0.308188761,0.052895067,1.061903554,14.27,0.066,0.038,0.291
Benin,1988,0.6963592137,29.7681417,0.666591072,0,0.363650902,0.0,0.0,0.050969442,5.252,0.094,0.035,0.074
Botswana,1988,2.356399704,0.2119178,2.356187786,1.414850248,0.762073722,0.0,0.0,0.022322393,46.582,0.421,0.184,1.707
Cameroon,1988,8.979243162,5198.559645,3.780683517,0,2.542405284,0.0,0.035196823,0.156256153,12.521,0.148,0.06,0.232
Congo,1988,6.049849369,5244.830559,0.80501881,0,0.686325564,0.0,0.0,0.076533705,21.625,0.148,0.078,0.299
Côte d'Ivoire,1988,4.476812468,753.0811635,3.723731304,0,3.102714638,0.0,0.404492512,0.347589968,17.127,0.13,0.055,0.277
Dem. Rep. of Congo,1988,7.163534563,932.330973,6.23120359,0.892032482,2.641776715,0.0,0.096455959,0.413922275,7.594,0.123,0.067,0.103
Egypt,1988,86.46045902,13568.1532,72.89230582,3.291937105,59.35324441,9.944240328,5.29960527,0.293667534,57.326,0.651,0.194,1.327
Equatorial Guinea,1988,0.093818592,0.0,0.093818592,0,0.057663004,0.0,0.0,0.0,10.54,0.492,0.231,0.132
Eritrea,1988,,0.0,,,,,,,,,,
Kingdom of Eswatini,1988,0.926989054,0.0,0.926989054,0.202737053,0.516825559,0.0,0.0,0.003189042,18.713,0.457,0.191,0.888
Ethiopia,1988,7.20443998,1.1299933,7.203309987,0,1.9535696,0.0,0.012834086,0.519579108,2.837,0.158,0.06,0.043
Gabon,1988,8.894302693,7225.623782,1.668678911,0,1.296093712,0.157935354,0.223438396,0.171777219,25.264,0.213,0.107,1.551
Ghana,1988,3.339455606,0.9357775,3.338519828,0,2.411305814,0.0,0.0,0.089077651,11.763,0.197,0.067,0.161
Kenya,1988,7.082825675,2.5143325,7.080311342,0.277828743,5.187782476,0.0,0.572603599,0.809980643,12.645,0.188,0.075,0.249
Libya,1988,58.15087031,37167.62547,20.98324484,0,17.93787119,2.999862347,0.155573918,0.918403268,46.814,0.376,0.133,5.157
Madagascar,1988,1.283238527,0.0,1.283238527,0,0.717793858,0.0,0.044458939,0.003074388,7.127,0.117,0.035,0.063
Mauritius,1988,,,0.93357469,0.098195588,0.81061992,0.0,0.273313241,0.309323265,40.135,0.248,0.12,0.864
Morocco,1988,18.46807037,32.6689075,18.43540146,3.958728197,13.98880429,0.148939384,0.038502258,0.675941219,62.541,0.454,0.186,0.757
Mozambique,1988,2.92425874,9.160478,2.915098262,0.154618588,1.338560829,0.0,0.089838913,0.13393376,5.86,0.566,0.259,0.114
Namibia,1988,,0.0,,,,,,,,,,
Niger,1988,1.193435292,0.0,1.193435292,0.189284242,0.588117162,0.0,0.0,0.044644487,13.119,0.197,0.083,0.097
Nigeria,1988,127.9640214,77750.04138,50.21398003,0.153224978,26.00733064,6.980592041,0.963376493,0.892892133,12.694,0.272,0.137,0.361
Rwanda,1988,1.510043201,0.0,1.510043201,0,0.515953327,0.0,0.0,0.033831442,1.746,0.181,0.075,0.073
Senegal,1988,2.172475813,3.1672548,2.169308558,0,1.970009169,0.015616639,0.105299391,0.417745889,28.387,0.264,0.108,0.277
South Africa,1988,261.9908867,24166.15928,237.8247274,194.0535796,41.57766526,0.0,3.725182666,1.000150978,58.366,1.288,0.588,6.243
South Sudan,1988,,0.0,,,,,,,,,,
Sudan,1988,5.613314873,2.5075025,5.610807371,0,4.452291841,0.0,0.016042608,0.191069364,10.414,0.14,0.069,0.173
United Rep. of Tanzania,1988,3.448676036,0.7872533,3.447888783,0.01041257,1.594911907,0.0,0.074675675,0.194364363,5.159,0.13,0.053,0.064
Togo,1988,0.7156321928,0.2168658,0.715415327,0,0.517489455,0.0,0.0,0.0,10.413,0.181,0.074,0.139
Tunisia,1988,14.25176275,3184.040033,11.06772272,0.3496981,8.429301129,2.11540601,0.0,0.522979472,58.915,0.686,0.259,1.339
Uganda,1988,2.380420131,0.0,2.380420131,0,0.717835626,0.0,0.0,0.038266703,2.494,0.135,0.047,0.043
Zambia,1988,,,3.940778039,1.187227975,1.878467761,0.0,0.0,0.176712824,13.149,0.382,0.149,0.414
Zimbabwe,1988,,,15.85098933,11.92703138,2.311120813,0.0,0.0,0.369383453,38.699,1.437,0.775,1.466
Other Africa,1988,,,18.11248676,0.051545461,10.45879007,0.0,1.626486668,0.605890962,9.563,0.272,0.113,0.154
Bangladesh,1988,12.93732526,835.22261,12.10210265,0.47860424,4.649856453,4.700237836,0.031599999,0.258247866,20.22,0.167,0.059,0.095
Brunei Darussalam,1988,5.115273472,1963.155601,3.152117871,0,0.699458601,2.45211735,0.099567243,0.105233583,56.035,0.344,0.172,12.734
Cambodia,1988,,,,,,,,,,,,
DPR of Korea,1988,,,124.8849751,116.9836408,7.778250012,0.0,0.0,0.0,84.991,2.833,0.784,6.12
India,1988,551.1579102,48329.9174,502.8279928,326.2245955,136.9865312,8.082481273,0.871493951,3.823809956,43.898,1.198,0.359,0.56
Indonesia,1988,150.9438972,35610.46523,115.3334319,11.97645881,79.48942343,11.76191485,0.743146928,0.940725362,31.709,0.473,0.154,0.582
Lao People's Democratic Republic,1988,,,,,,,,,,,,
Malaysia,1988,42.55047769,6321.030457,36.22944724,1.038135148,29.20095241,5.819196876,0.202492479,1.374257367,47.525,0.565,0.227,2.159
Mongolia,1988,,,14.62470491,12.06839324,2.5409274,0.0,0.0,0.0,90.871,3.732,1.358,6.941
Myanmar,1988,,,7.242839069,0.243058044,2.158657543,1.912855515,0.0,0.012755568,9.591,0.527,0.145,0.11
Nepal,1988,,,2.629940883,0.174758589,0.572855537,0.0,0.0,0.056641187,3.218,0.102,0.03,0.04
Pakistan,1988,59.19443106,3931.505435,55.26292562,6.150455572,27.41993594,15.91055928,0.047545852,1.470304441,30.141,0.517,0.158,0.454
Philippines,1988,37.88408571,115.6621875,37.76842352,5.165455892,29.83779871,0.0,0.419176957,1.427751556,32.371,0.354,0.148,0.59
Singapore,1988,,,19.84371748,0.061948473,19.51894636,0.122505237,30.89235872,4.132814406,55.469,0.336,0.215,6.924
Sri Lanka,1988,,,5.087423702,0,3.828679611,0.0,1.129073205,0.0,16.543,0.193,0.064,0.223
Chinese Taipei,1988,,,106.4789611,41.05175145,63.65180372,1.775405897,4.223136793,1.44131329,56.237,0.755,0.366,5.271
